Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	81.418240	5484	12.07953730487149411436	6.37003478986808597141	-0.00056416820588722247
	82.822144	5484	12.08540320074189331617	6.37311357774687385017	0.00042235049654758632
	84.226048	5484	12.09126912557995628828	6.37619236562566172894	0.00151315278855381580
	85.629952	5484	12.09713507940561048794	6.37927115350444960771	0.00270831040898256342
	87.033856	5485	12.10300106223877630775	6.38234994138323748648	0.00015737745367526491
	88.438016	5485	12.10886707409936709819	6.38542872926202536524	-0.00228905677173813459
	89.842176	5484	12.11473311500728909391	6.38850751714081324401	-0.00078040298724482155
	91.246080	5484	12.12059918498244155682	6.39158630501960112321	0.00083289282693075490
	92.649984	5484	12.12646528404471675533	6.39466509289838900198	0.00255090228295173875
	94.053888	5485	12.13233141221399991223	6.39774388077717688075	0.00052317935005826995
	95.458048	5485	12.13819756951016932099	6.40082266865596475952	-0.00139968679232964481
	96.862208	5485	12.14406375595309628239	6.40390145653475263829	-0.00321762460752771043
	98.266368	5484	12.14992997156264522077	6.40698024441354051705	-0.00108004496604193189
	99.670272	5484	12.15579621635867361984	6.41005903229232839582	0.00116260600150462579
	101.074176	5484	12.16166249036103205218	6.41313782017111627502	0.00351039975717000869
	102.478080	5485	12.16752879358956423387	6.41621660804990415379	0.00211289012076295253
	103.882240	5485	12.17339512606410704704	6.41929539592869203256	0.00082066612263266755
	105.286400	5485	12.17926148780449046444	6.42237418380747991133	-0.00036620084931942042
	106.690560	5485	12.18512787883053771504	6.42545297168626779009	-0.00144763943147840229
	108.094720	5485	12.19099429916206519565	6.42853175956505566886	-0.00242357828480660836
	109.498880	5485	12.19686074881888248819	6.43161054744384354763	-0.00329394609481285873
	110.903040	5484	12.20272722782079248983	6.43468933532263142683	-0.00020815395349742123
	112.306944	5484	12.20859373618759126032	6.43776812320141930560	0.00298335178738298406
	113.710848	5485	12.21446027393906821976	6.44084691108020718437	0.00243012475217927305
	115.115008	5485	12.22032684109500601070	6.44392569895899506313	0.00198275377596733319
	116.519168	5485	12.22619343767518060827	6.44700448683778294190	0.00164131005226141229
	117.923328	5485	12.23206006369936131931	6.45008327471657082067	0.00140586475056039609
	119.327488	5485	12.23792671918731082489	6.45316206259535869987	0.00127648901652391911
	120.731648	5485	12.24379340415878511007	6.45624085047414657864	0.00125325397169282362
	122.135808	5485	12.24966011863353357488	6.45931963835293445741	0.00133623071390847113
	123.539968	5485	12.25552686263129901698	6.46239842623172233618	0.00152549031724006171
	124.944128	5485	12.26139363617181768026	6.46547721411051021494	0.00182110383216913100
	126.348288	5485	12.26726043927481917505	6.46855600198929809371	0.00222314228529323685
	127.752448	5485	12.27312727196002663504	6.47163478986808597248	0.00273167667988783656
	129.156608	5485	12.27899413424715662369	6.47471357774687385125	0.00334677799559040568
	130.560768	5486	12.28486102615591922353	6.47779236562566173045	0.00021799957112531506
	131.965184	5486	12.29072794770601798151	6.48087115350444960922	-0.00280407004317194811
	133.369600	5485	12.29659489891715005386	6.48394994138323748798	-0.00186884231996932049
	134.773760	5485	12.30246187980900602656	6.48702872926202536675	-0.00082676399072677472
	136.177920	5485	12.30832889040127011478	6.49010751714081324552	0.00032223580773361422
	137.582080	5485	12.31419593071362012914	6.49318630501960112429	0.00157822791552764388
	138.986240	5485	12.32006300076572740277	6.49626509289838900349	0.00294128314945180672
	140.390400	5486	12.32593010057725696569	6.49934388077717688226	0.00056095468605200254
	141.794816	5486	12.33179723016786739562	6.50242266865596476103	-0.00171216908622123453
	143.199232	5485	12.33766438955721098450	6.50550145653475263979	-0.00002749980156298182
	144.603392	5485	12.34353157876493366392	6.50858024441354051856	0.00176451564782515739
	146.007552	5485	12.34939879781067503372	6.51165903229232839733	0.00366394796449688470
	147.411712	5486	12.35526604671406840277	6.51473782017111627610	0.00182035021080283098
	148.816128	5486	12.36113332549474081671	6.51781660804990415486	0.00008431066166636430
	150.220544	5486	12.36700063417231302155	6.52089539592869203407	-0.00154410004822296746
	151.624960	5486	12.37286797276639954257	6.52397418380747991283	-0.00306481130656964106
	153.029376	5485	12.37873534129660866004	6.52705297168626779160	-0.00062723490600694710
	154.433536	5485	12.38460273978254240924	6.53013175956505567037	0.00191818210323342761
	155.837696	5486	12.39047016824379668538	6.53321054744384354914	0.00072099264880251720
	157.242112	5486	12.39633762669996118640	6.53628933532263142791	-0.00036821512881872938
	158.646528	5486	12.40220511517061937126	6.53936812320141930711	-0.00134937072917911849
	160.050944	5486	12.40807263367534867080	6.54244691108020718587	-0.00222240367352542414
	161.455360	5486	12.41394018223372029425	6.54552569895899506464	-0.00298724350550403578
	162.859776	5486	12.41980776086529936718	6.54860448683778294341	-0.00364381979066896624
	164.264192	5485	12.42567536958964494187	6.55168327471657082218	-0.00034154449885730264
	165.668352	5485	12.43154300842630992450	6.55476206259535870095	0.00306913514282253458
	167.072512	5486	12.43741067739484120608	6.55784085047414657971	0.00273777188560888391
	168.476928	5486	12.44327837651477964686	6.56091963835293445892	0.00251495369417380707
	169.881344	5486	12.44914610580566000694	6.56399842623172233768	0.00240075089364321628
	171.285760	5486	12.45501386528701110758	6.56707721411051021645	0.00239523378778050526
	172.690176	5486	12.46088165497835571066	6.57015600198929809522	0.00249847265852810202
	174.094592	5486	12.46674947489921061582	6.57323478986808597399	0.00271053776635969047
	175.499008	5486	12.47261732506908667086	6.57631357774687385275	0.00303149935033332321
	176.903424	5486	12.47848520550748874832	6.57939236562566173152	0.00346142762798799137
	178.307840	5487	12.48435311623391581401	6.58247115350444961072	0.00014987517803216138
	179.712512	5487	12.49022105726786088364	6.58554994138323748949	-0.00305257020710684528
	181.117184	5486	12.49608902862881109046	6.58862872926202536826	-0.00229532075618811491
	182.521600	5486	12.50195703033624769398	6.59170751714081324703	-0.00142882395424131052
	183.926016	5486	12.50782506240964606688	6.59478630501960112580	-0.00045300968992224822
	185.330432	5486	12.51369312486847570377	6.59786509289838900456	0.00063219212694362058
	186.734848	5486	12.51956121773220033042	6.60094388077717688333	0.00182685156577492976
	188.139264	5486	12.52542934102027776411	6.60402266865596476253	0.00313103867471165694
	189.543680	5487	12.53129749475216011840	6.60710145653475264130	0.00069430586379565232
	190.948352	5487	12.53716567894729358359	6.61018024441354052007	-0.00163275924312292577
	192.353024	5487	12.54303389362511869393	6.61325903229232839884	-0.00385008666011593565
	193.757696	5486	12.54890213880507018104	6.61633782017111627760	-0.00210708880458787074
	195.162112	5486	12.55477041450657701722	6.61941660804990415637	-0.00025421334980287602
	196.566528	5486	12.56063872074906247450	6.62249539592869203514	0.00170860962801964870
	197.970944	5486	12.56650705755194408816	6.62557418380747991434	0.00378145003200222821
	199.375360	5487	12.57237542493463372268	6.62865297168626779311	0.00211386012729505331
