Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	0.000000	5487	2.74986892061588588006	0.00032404960177707164
	1.404672	5487	2.75573786627091404846	0.00073824011579201984
	2.809344	5487	2.76160683699102941623	0.00124266494372531573
	4.214016	5487	2.76747583280215838503	0.00183741742062046145
	5.618688	5487	2.77334485373020875505	0.00252259081456251807
	7.023360	5487	2.77921389980106993932	0.00329827832743566153
	8.428032	5488	2.78508297104061287690	0.00031405547704984217
	9.832960	5488	2.79095206747469015522	-0.00257946704970602719
	11.237888	5487	2.79682118912913604217	-0.00153167863190351367
	12.642560	5487	2.80269033602976649997	-0.00039300394964765160
	14.047232	5487	2.80855950820237926496	0.00083664986891690721
	15.451904	5487	2.81442870567275388836	0.00215737563016863684
	16.856576	5487	2.82029792846665178577	0.00356926607520761136
	18.261248	5488	2.82616717660981623447	0.00122189626226729606
	19.666176	5488	2.83203645012797252962	-0.00103412358003162965
	21.071104	5488	2.83790574904682788449	-0.00319870090571146242
	22.476032	5487	2.84377507339207156577	-0.00142122561585013222
	23.880704	5487	2.84964442318937496556	0.00044787708900080214
	25.285376	5487	2.85551379846439157273	0.00240869956139348684
	26.690048	5488	2.86138319924275701805	0.00061081647203657913
	28.094976	5488	2.86725262555008919476	-0.00109516233708510947
	29.499904	5488	2.87312207741198825592	-0.00270914470542212658
	30.904832	5487	2.87899155485403664394	-0.00038052091861687171
	32.309504	5487	2.88486105790179912529	0.00204028343892466082
	33.714176	5488	2.89073058658082290059	0.00070284271955872551
	35.119104	5488	2.89660014091663760901	-0.00054223355245050633
	36.524032	5488	2.90246972093475535514	-0.00169485353352225743
	37.928960	5488	2.90833932666067074627	-0.00275492544307030108
	39.333888	5488	2.91420895811986102424	-0.00372235756302774155
	40.738816	5487	2.92007861533778594575	-0.00074654062070327540
	42.143488	5487	2.92594829833988802348	0.00232209935938505359
	43.548160	5488	2.93181800715159242808	0.00163313629028373296
	44.953088	5488	2.93768774179830704195	0.00103717925793674197
	46.358016	5488	2.94355750230542259106	0.00053431966895205319
	47.762944	5488	2.94942728869831260249	0.00012464886803609366
	49.167872	5488	2.95529710100233344340	-0.00019174186189443865
	50.572800	5488	2.96116693924282447029	-0.00041476129915349303
	51.977728	5488	2.96703680344510790749	-0.00054431828373852231
	53.382656	5488	2.97290669363448903373	-0.00058032171664001678
	54.787584	5488	2.97877660983625617425	-0.00052268055989182151
	56.192512	5488	2.98464655207568069217	-0.00037130383658511343
	57.597440	5488	2.99051652037801713423	-0.00012610063035404601
	59.002368	5488	2.99638651476850317000	0.00021301991441739047
