Change	Time (sec)	Delay(uSec)	Angle(deg)	C length(cm)	Error(arcsec)	
	53.530880	5503	12.57302726422827826320	6.62707272727272727469	-0.00045572410326528878
	54.939648	5503	12.57891341670201542941	6.63015151515151515346	0.00029473188207800358
	56.348416	5503	12.58479959251441319956	6.63323030303030303223	0.00112920704559248609
	57.757184	5503	12.59068579169534683737	6.63630909090909091100	0.00204780893823633310
	59.165952	5503	12.59657201427466656322	6.63938787878787878977	0.00305064502079340295
	60.574720	5504	12.60245826028219765652	6.64246666666666666853	0.00028730504670713603
	61.983744	5504	12.60834452974774046348	6.64554545454545454774	-0.00239158608521072723
	63.392768	5503	12.61423082270107050989	6.64862424242424242650	-0.00113540356550091206
	64.801536	5503	12.62011713917193850114	6.65170303030303030527	0.00020544209081449512
	66.210304	5503	12.62600347919007043665	6.65478181818181818404	0.00163105789732653120
	67.619072	5503	12.63188984278516765677	6.65786060606060606281	0.00314155077886080337
	69.027840	5504	12.63777622998690686618	6.66093939393939394157	0.00088650995399550593
	70.436864	5504	12.64366264082494025183	6.66401818181818182034	-0.00128344021183850435
	71.845888	5504	12.64954907532889549424	6.66709696969696969954	-0.00336819305898815483
	73.254912	5503	12.65543553352837583079	6.67017575757575757831	-0.00151712439823121953
	74.663680	5503	12.66132201545296012690	6.67325454545454545708	0.00041935463678052674
	76.072448	5503	12.66720852113220298872	6.67633333333333333585	0.00244135044262697453
	77.481216	5504	12.67309505059563470679	6.67941212121212121462	0.00069845171078951475
	78.890240	5504	12.67898160387276140781	6.68249090909090909338	-0.00095871771910911548
	80.299264	5504	12.68486818099306505901	6.68556969696969697215	-0.00253005171198839223
	81.708288	5503	12.69075478198600356004	6.68864848484848485135	-0.00016492660183727386
	83.117056	5503	12.69664140688101080720	6.69172727272727273012	0.00228624595579512291
	84.525824	5504	12.70252805570749669948	6.69480606060606060889	0.00097305421898432666
	85.934848	5504	12.70841472849484726348	6.69788484848484848766	-0.00025387840500450933
	87.343872	5504	12.71430142527242464819	6.70096363636363636642	-0.00139444621244489296
	88.752896	5504	12.72018814606956723517	6.70404242424242424519	-0.00244854358515265481
	90.161920	5504	12.72607489091558966628	6.70712121212121212396	-0.00341606499042165375
	91.570944	5503	12.73196165983978287231	6.71020000000000000316	-0.00044638736333493340
	92.979712	5503	12.73784845287141422477	6.71327878787878788193	0.00261007704107725541
	94.388480	5504	12.74373527003972748472	6.71635757575757576070	0.00190291588279023942
	95.797504	5504	12.74962211137394295282	6.71943636363636363946	0.00128275197245333249
	97.206528	5504	12.75550897690325741034	6.72251515151515151823	0.00074969041848264342
